"Date","Temp","Q","P","E"
"1/1/2005",-6.8,3.17,0,0
"1/2/2005",-8.1,2.59,0,0
"1/3/2005",-11.1,2.41,0,0
"1/4/2005",-8.3,2.41,0,0
"1/5/2005",0.2,2.41,0.3,0.2
"1/6/2005",5,2.59,0.3,0.4
"1/7/2005",5.6,3.38,0.5,0.5
"1/8/2005",5,3.27,1.1,0.4
"1/9/2005",5,2.78,0,0.4
"1/10/2005",7.5,2.59,0,0.5
"1/11/2005",11.2,2.59,0,0.7
"1/12/2005",8.9,2.78,4.1,0.6
"1/13/2005",9.3,2.97,3.2,0.6
"1/14/2005",7.6,2.97,1.4,0.6
"1/15/2005",6.8,3.17,0,0.5
"1/16/2005",6,2.59,0,0.5
"1/17/2005",5.7,2.32,0,0.5
"1/18/2005",3.1,2.59,0.1,0.4
"1/19/2005",4.5,2.06,0,0.5
"1/20/2005",3.9,2.23,0,0.4
"1/21/2005",4.6,2.41,0,0.5
"1/22/2005",4.4,2.41,0,0.5
"1/23/2005",7.2,1.98,0.3,0.6
"1/24/2005",7.2,2.06,3.3,0.6
"1/25/2005",4.8,2.06,4.1,0.5
"1/26/2005",0.4,2.41,6.2,0.3
"1/27/2005",3.9,2.97,6.5,0.5
"1/28/2005",5.4,4.04,0,0.6
"1/29/2005",2.3,3.59,0,0.4
"1/30/2005",1,2.78,0,0.3
"1/31/2005",2.6,2.59,0,0.4
"2/1/2005",1.9,3.15,0,0.4
"2/2/2005",-0.4,3.7,0,0.3
"2/3/2005",-0.7,2.59,0,0.2
"2/4/2005",2.6,2.78,0,0.5
"2/5/2005",2.7,2.87,0,0.5
"2/6/2005",2,2.23,0,0.4
"2/7/2005",1.6,2.23,0,0.4
"2/8/2005",1.6,2.23,0,0.4
"2/9/2005",3.5,2.23,0,0.5
"2/10/2005",4.3,2.23,0,0.6
"2/11/2005",3.2,2.06,0,0.5
"2/12/2005",3.4,2.06,0,0.6
"2/13/2005",2.9,1.9,0,0.5
"2/14/2005",3.1,1.9,0,0.5
"2/15/2005",1.2,1.9,0,0.4
"2/16/2005",-0.9,1.9,0.1,0.3
"2/17/2005",0.3,1.98,2.2,0.4
"2/18/2005",2.2,1.98,0,0.5
"2/19/2005",1.5,1.98,0.7,0.5
"2/20/2005",1.4,1.9,0.8,0.5
"2/21/2005",-0.2,1.98,4.8,0.4
"2/22/2005",-1.9,2.23,1.6,0.2
"2/23/2005",-3.5,1.9,0.5,0.1
"2/24/2005",-6.6,1.74,0,0
"2/25/2005",-6.2,2.14,0,0
"2/26/2005",-2.2,2.3,1.3,0.2
"2/27/2005",-0.2,1.9,3.7,0.4
"2/28/2005",-3.3,1.82,0.8,0.2
"3/1/2005",-3.4,1.74,0.2,0.1
"3/2/2005",-1.6,1.74,0.3,0.3
"3/3/2005",0.4,1.74,0,0.5
"3/4/2005",-1.5,1.9,0,0.3
"3/5/2005",-3.2,2.06,0,0.2
"3/6/2005",-1.5,1.9,0.1,0.3
"3/7/2005",3,1.74,0,0.7
"3/8/2005",0.5,1.9,0,0.5
"3/9/2005",4,1.98,0,0.8
"3/10/2005",4.6,1.74,0,0.9
"3/11/2005",5.6,1.74,0,1
"3/12/2005",6.1,1.9,0,1.1
"3/13/2005",6.9,1.59,0,1.2
"3/14/2005",7.8,1.9,0,1.3
"3/15/2005",8.2,1.67,0,1.3
"3/16/2005",9.4,1.59,0,1.4
"3/17/2005",9.9,1.45,0,1.5
"3/18/2005",10.1,1.31,0,1.6
"3/19/2005",8.2,1.31,0,1.4
"3/20/2005",11.3,1.45,1.4,1.7
"3/21/2005",9.8,1.45,6.6,1.6
"3/22/2005",9.9,1.74,4.3,1.6
"3/23/2005",6.4,1.74,2.6,1.2
"3/24/2005",4.5,1.59,0.1,1
"3/25/2005",2,1.45,0,0.8
"3/26/2005",0,1.38,0,0.6
"3/27/2005",0.2,1.45,0,0.6
"3/28/2005",0.6,1.38,0,0.6
"3/29/2005",2.1,1.31,0,0.8
"3/30/2005",7.7,1.31,0,1.5
"3/31/2005",12.3,1.31,0,2.1
"4/1/2005",6.2,1.31,7.1,1.4
"4/2/2005",3.3,1.59,0.1,1
"4/3/2005",4.6,1.45,3,1.2
"4/4/2005",5.5,1.18,0.5,1.3
"4/5/2005",5.9,1.31,12.1,1.4
"4/6/2005",10.2,1.9,13.3,1.9
"4/7/2005",10.7,4.25,8.7,2
"4/8/2005",9.9,5.95,0.6,1.9
"4/9/2005",10.6,4.67,2,2
"4/10/2005",8.7,4.89,3.6,1.8
"4/11/2005",4.8,4.63,4.4,1.3
"4/12/2005",5.6,4.9,4.3,1.4
"4/13/2005",6.4,5.2,0.8,1.5
"4/14/2005",7.1,4.22,2.2,1.6
"4/15/2005",7.1,4.27,4.9,1.6
"4/16/2005",6.4,5.35,0.1,1.6
"4/17/2005",7.3,4.75,0,1.7
"4/18/2005",9.1,4.16,0,2
"4/19/2005",11.3,3.7,0,2.3
"4/20/2005",14.7,3.61,0,2.8
"4/21/2005",14.6,2.78,0,2.8
"4/22/2005",10,3.49,4.4,2.2
"4/23/2005",13,3.51,0.3,2.6
"4/24/2005",10.9,2.68,11.4,2.3
"4/25/2005",7.9,3.49,2.3,1.9
"4/26/2005",9.5,3.27,3.3,2.1
"4/27/2005",11.2,2.87,0,2.4
"4/28/2005",12.6,2.87,0.1,2.6
"4/29/2005",11.3,2.23,1.1,2.4
"4/30/2005",11.4,2.23,0.1,2.5
"5/1/2005",11.3,2.14,2.1,2.5
"5/2/2005",9.7,2.41,9.1,2.2
"5/3/2005",10.6,3.07,0.1,2.4
"5/4/2005",9.9,2.41,0,2.3
"5/5/2005",11.8,2.41,0,2.6
"5/6/2005",9.1,2.06,0,2.2
"5/7/2005",8.1,2.06,2.1,2
"5/8/2005",10.2,1.9,3.8,2.4
"5/9/2005",11.9,1.9,0.7,2.7
"5/10/2005",14.3,2.06,5.9,3.1
"5/11/2005",14.5,1.9,2.7,3.1
"5/12/2005",12.6,2.06,4.8,2.8
"5/13/2005",11.6,2.06,3.4,2.6
"5/14/2005",12.7,1.9,1.8,2.9
"5/15/2005",11.3,1.74,0.6,2.6
"5/16/2005",12.6,1.9,0,2.9
"5/17/2005",15.8,1.74,0,3.4
"5/18/2005",14.3,1.31,0.6,3.2
"5/19/2005",11.8,1.31,26.3,2.8
"5/20/2005",11.4,4.34,0,2.7
"5/21/2005",9.9,2.59,0,2.5
"5/22/2005",12.5,1.74,0,2.9
"5/23/2005",16.2,1.74,0,3.5
"5/24/2005",18.1,1.59,0,3.9
"5/25/2005",20.7,1.31,0,4.3
"5/26/2005",16.8,1.31,4.8,3.7
"5/27/2005",14,1.6,11,3.2
"5/28/2005",11.9,2.5,3.3,2.9
"5/29/2005",15.6,1.74,1.1,3.5
"5/30/2005",13,1.59,3.8,3.1
"5/31/2005",13,1.31,0,3.1
"6/1/2005",16.3,1.06,13.3,3.7
"6/2/2005",13.4,2.23,0.7,3.2
"6/3/2005",11.4,2.15,0.3,2.8
"6/4/2005",14.6,1.45,0,3.4
"6/5/2005",17.3,1.31,0,3.9
"6/6/2005",21,1.45,0,4.5
"6/7/2005",21.5,1.31,0,4.6
"6/8/2005",21,1.06,0.1,4.5
"6/9/2005",21.5,0.83,0,4.6
"6/10/2005",17.2,0.725,15.1,3.8
"6/11/2005",13.1,1.06,1.5,3.1
"6/12/2005",10.9,1.45,8.5,2.8
"6/13/2005",10.7,2.06,14.8,2.7
"6/14/2005",11.9,2.59,17.9,2.9
"6/15/2005",14.2,7,0.8,3.4
"6/16/2005",17,4.05,0,3.8
"6/17/2005",15,2.87,0,3.5
"6/18/2005",17.8,2.66,0,4
"6/19/2005",22,1.98,18.6,4.7
"6/20/2005",18.8,5.65,4.6,4.1
"6/21/2005",17.6,3.87,10.7,3.9
"6/22/2005",16.8,4.73,8.4,3.8
"6/23/2005",15,4.75,0.2,3.5
"6/24/2005",14.4,3.66,0,3.4
"6/25/2005",14.4,3.36,0,3.4
"6/26/2005",16.9,2.47,0,3.8
"6/27/2005",18.1,2.77,0,4
"6/28/2005",18.2,1.37,1,4
"6/29/2005",16.4,2.4,14.2,3.7
"6/30/2005",16.4,3.52,2.1,3.7
"7/1/2005",15.6,3.02,2.3,3.6
"7/2/2005",17.1,2.62,1.6,3.8
"7/3/2005",18.4,1.89,0.1,4
"7/4/2005",20.2,1.89,0,4.4
"7/5/2005",20.2,1.71,13.6,4.4
"7/6/2005",12.7,5.85,0,3.1
"7/7/2005",14.7,3.33,0,3.4
"7/8/2005",16.2,2.59,0,3.6
"7/9/2005",19.2,2.16,24.3,4.2
"7/10/2005",12,4.26,1.9,2.9
"7/11/2005",10.6,3.89,5.5,2.7
"7/12/2005",11.1,2.66,0.4,2.8
"7/13/2005",13.7,2.81,0,3.2
"7/14/2005",17.3,2.19,0,3.8
"7/15/2005",20.6,1.98,0,4.3
"7/16/2005",22.5,1.71,0,4.7
"7/17/2005",20,1.55,0.2,4.2
"7/18/2005",18.8,1.39,0,4
"7/19/2005",15.2,1.25,2.8,3.4
"7/20/2005",12.6,1.39,10.8,3
"7/21/2005",13.1,1.71,1.9,3
"7/22/2005",14.6,1.71,0,3.3
"7/23/2005",15.9,1.39,0,3.5
"7/24/2005",19.3,1.25,0.4,4
"7/25/2005",17.1,1.25,0,3.6
"7/26/2005",14,1.11,0,3.1
"7/27/2005",17,1.25,0,3.6
"7/28/2005",21.3,0.975,0,4.3
"7/29/2005",23.3,0.975,0,4.6
"7/30/2005",20.6,0.735,16.6,4.1
"7/31/2005",14.3,0.975,0.1,3.1
"8/1/2005",16.6,1.25,0,3.4
"8/2/2005",20.1,1.25,0.6,4
"8/3/2005",19.3,0.975,0.2,3.8
"8/4/2005",20.1,0.735,0.5,4
"8/5/2005",20.7,0.63,1.1,4
"8/6/2005",17.4,0.63,0,3.5
"8/7/2005",18,0.68,0,3.6
"8/8/2005",18.8,0.63,0.5,3.7
"8/9/2005",17.1,0.53,2.3,3.4
"8/10/2005",16.5,0.53,5.8,3.3
"8/11/2005",17,0.44,0,3.3
"8/12/2005",19.6,0.975,0,3.7
"8/13/2005",19.4,0.975,0,3.6
"8/14/2005",21.2,0.735,1.7,3.9
"8/15/2005",18.2,0.735,0,3.4
"8/16/2005",20.4,0.53,0,3.8
