"Date","Temp","Q","P","E"
"10/01/1999",24.2,0,0,4.48
"10/02/1999",24,0,0,4.62
"10/03/1999",22,0,0,3.36
"10/04/1999",21.6,0,0,4.48
"10/05/1999",22,0,0,3.92
"10/06/1999",0,0,0,3.78
"10/07/1999",0,0,0,3.92
"10/08/1999",0,0,0,0
"10/09/1999",0,0,29,0
"10/10/1999",0,0,6.2,0
"10/11/1999",0,0,0,0
"10/12/1999",0,0,0,0
"10/13/1999",11.5,0,0,0
"10/14/1999",12.5,0.001,0,0
"10/15/1999",13,0.001,0,0
"10/16/1999",9.9,0.001,0,2.24
"10/17/1999",9.5,0.002,0.3,1.4
"10/18/1999",10.2,0.002,3.3,0.35
"10/19/1999",11.1,0.003,0,0.7
"10/20/1999",14,0.004,0,1.26
"10/21/1999",14.8,0.004,0.2,0.7
"10/22/1999",12.9,0.006,0,1.68
"10/23/1999",12.2,0.006,1,0.7
"10/24/1999",12.9,0.006,0,0.28
"10/25/1999",11.9,0.006,0,1.82
"10/26/1999",12,0.006,0,1.68
"10/27/1999",12.6,0.006,0,0.56
"10/28/1999",10.4,0.006,0,0.77
"10/29/1999",8.2,0.006,0,1.54
"10/30/1999",8.3,0.006,0,1.26
"10/31/1999",7.2,0.006,0,0.7
"11/01/1999",6.8,0,0,2.38
"11/02/1999",7.8,0,0,1.4
"11/03/1999",9.7,0,0,2.24
"11/04/1999",9.3,0,0,0.84
"11/05/1999",8.5,0,0,2.94
"11/06/1999",7.5,0,0,1.68
"11/07/1999",7.2,0,0,1.4
"11/08/1999",7.8,0,0,0.7
"11/09/1999",9.7,0,0,1.68
"11/10/1999",4,0.009,0,1.4
"11/11/1999",2.2,0.009,0,0.7
"11/12/1999",3.4,0.009,0,0.7
"11/13/1999",3.6,0.009,0,0.7
"11/14/1999",5.3,0.009,0,0.7
"11/15/1999",7.8,0.009,0,0.7
"11/16/1999",11,0.015,3,0.7
"11/17/1999",11.2,0.015,0,0.7
"11/18/1999",15.1,0.015,4.5,0.7
"11/19/1999",9.8,0.015,5.6,0.7
"11/20/1999",10.2,0.015,0,0.7
"11/21/1999",12.6,0.015,0.8,0.7
"11/22/1999",9.7,0.015,1.5,0.7
"11/23/1999",13.8,0.015,0.8,0.7
"11/24/1999",4.4,0.015,8.9,0.7
"11/25/1999",0.8,0.015,5.4,0.7
"11/26/1999",-1.7,0.015,0.6,0.7
"11/27/1999",-1.8,0.009,0,0.7
"11/28/1999",2.3,0.009,0,0.7
"11/29/1999",2.4,0.009,0,0.7
"11/30/1999",1.2,0.009,0,0.7
"12/01/1999",0.4,0.009,0,0.7
"12/02/1999",1.2,0.009,0,0.7
"12/03/1999",3.4,0.009,0,0.7
"12/04/1999",2.2,0.009,0,0.7
"12/05/1999",2.6,0.009,0,0.7
"12/06/1999",2.8,0.015,0,0.7
"12/07/1999",2.7,0.015,0,0.7
"12/08/1999",3.2,0.015,0,0.7
"12/09/1999",3.6,0.015,0,0.7
"12/10/1999",4.2,0.015,0,0.7
"12/11/1999",4.3,0.015,0,0.7
"12/12/1999",5.5,0.015,0,0.7
"12/13/1999",7,0.015,0,0.7
"12/14/1999",4.5,0.015,0.2,0.7
"12/15/1999",2.3,0.015,5.9,0.7
"12/16/1999",3.7,0.015,0,0.7
"12/17/1999",5.7,0.015,0,0.7
"12/18/1999",4.9,0.015,0,0.7
"12/19/1999",2.4,0.015,0,0.7
"12/20/1999",3.8,0.015,0,0.7
"12/21/1999",9.8,0.015,0,0.7
"12/22/1999",7.8,0.015,0,0.7
"12/23/1999",6.4,0.015,0,0.7
"12/24/1999",4.9,0.022,10.8,0.7
"12/25/1999",4.2,0.015,7.6,0.7
"12/26/1999",3.8,0.015,0,0.7
"12/27/1999",8.7,0.015,0,0.7
"12/28/1999",11.8,0.015,5.2,0.7
"12/29/1999",12.5,0.015,2.4,0.7
"12/30/1999",8.7,0.015,0,0.7
"12/31/1999",7.1,0.015,6.8,0.7
"01/01/2000",8,0.015,0,0.7
"01/02/2000",1.8,0.015,0,0.7
"01/03/2000",-0.9,0.015,4.2,0.7
"01/04/2000",-2.1,0.015,0.5,0.7
"01/05/2000",-1.3,0.015,0.4,0.7
"01/06/2000",-0.2,0.015,0,0.7
"01/07/2000",-0.4,0.015,0.1,0.7
"01/08/2000",-0.4,0.015,8.2,0.7
"01/09/2000",-1.5,0.022,2,0.7
"01/10/2000",-1,0.022,1,0.7
"01/11/2000",-1.5,0.015,0.9,0.7
"01/12/2000",-1.4,0.015,0,0.7
"1/13/2000",-3.7,0.015,0,0.7
"1/14/2000",-4.4,0.015,0.1,0.7
"1/15/2000",-6,0.015,0,0.7
"1/16/2000",-5.8,0.009,0,0.7
"1/17/2000",-6.4,0.009,0,0.7
"1/18/2000",-1.6,0.015,4.8,0.7
"1/19/2000",-3.6,0.015,2.2,0.7
"1/20/2000",-5.7,0.009,10.9,0.7
"1/21/2000",-9.8,0.015,0.1,0.7
"1/22/2000",-5.4,0.015,0.3,0.7
"1/23/2000",-10.8,0.015,4,0.7
"1/24/2000",-2.2,0.015,0,0.7
"1/25/2000",-0.6,0.015,6.1,0.7
"1/26/2000",-6.8,0.015,1.5,0.7
"1/27/2000",-10.6,0.015,0,0.7
"1/28/2000",-8.5,0.015,0,0.7
"1/29/2000",-8.8,0.015,0,0.7
"1/30/2000",-5.2,0.015,0,0.7
"1/31/2000",0.2,0.015,0,0.7
"02/01/2000",1.6,0.015,1.3,0.7
"02/02/2000",0.1,0.015,0,0.7
"02/03/2000",-1,0.015,0,0.7
"02/04/2000",-0.7,0.015,0,0.7
"02/05/2000",-3.6,0.015,7.7,0.7
"02/06/2000",-1,0.015,0,0.7
"02/07/2000",-4.2,0.015,0,0.7
"02/08/2000",-6.8,0.015,0,0.7
"02/09/2000",-7.1,0.015,0,0.7
"02/10/2000",-3.4,0.015,0,0.7
"02/11/2000",-1.4,0.015,0,0.7
"02/12/2000",-1.2,0.015,0,0.7
"2/13/2000",1,0.015,0,0.7
"2/14/2000",1.2,0.015,0,0.7
"2/15/2000",0.4,0.015,0,0.7
"2/16/2000",0.2,0.015,6.5,0.7
"2/17/2000",0.4,0.015,6.7,0.7
"2/18/2000",4.4,0.015,0,0.7
"2/19/2000",1.8,0.015,2.5,0.7
"2/20/2000",2.1,0.015,3.5,0.7
"2/21/2000",3.5,0.015,0.1,0.7
"2/22/2000",-1.2,0.015,9.7,0.7
"2/23/2000",-3.1,0.015,4.2,0.7
"2/24/2000",-3.2,0.015,0,0.7
"2/25/2000",-2.4,0.015,0,0.7
"2/26/2000",-1.8,0.015,0,0.7
"2/27/2000",-1,0.015,0.4,0.7
"2/28/2000",-3,0.015,0,0.7
"2/29/2000",-3.6,0.015,0,0.7
"03/01/2000",-3.1,0.015,0,0.7
"03/02/2000",-1.8,0.015,0,0.7
"03/03/2000",1.8,0.015,0,0.7
"03/04/2000",4.2,0.015,0,0.7
"03/05/2000",6.6,0.015,0,0.7
"03/06/2000",0.4,0.015,0.6,0.7
"03/07/2000",-2.8,0.015,2.7,0.7
"03/08/2000",-0.2,0.015,0,0.7
"03/09/2000",4.6,0.022,0,0.7
"03/10/2000",8.1,0.022,0,0.7
"03/11/2000",2.5,0.03,15.5,0.7
"03/12/2000",4.8,0.03,0,0.7
"3/13/2000",3.2,0.03,0,0.7
"3/14/2000",2,0.041,0,0.7
"3/15/2000",6.6,0.041,0,0.7
"3/16/2000",9,0.053,0,0.7
"3/17/2000",8.5,0.08,0,0.7
"3/18/2000",-0.9,0.161,14.3,0.7
"3/19/2000",-0.7,0.096,3.7,0.7
"3/20/2000",-1,0.08,4.5,0.7
"3/21/2000",0.3,0.065,0,0.7
"3/22/2000",2.1,0.096,0,0.7
"3/23/2000",2.4,0.112,0,0.7
"3/24/2000",4.1,0.112,0,0.7
"3/25/2000",6.9,0.129,0,0.7
"3/26/2000",8.7,0.145,0,0.7
"3/27/2000",10.5,0.201,0,0.7
"3/28/2000",12,0.24,0.1,0.7
"3/29/2000",11,0.22,0,0.7
"3/30/2000",13.6,0.181,0,0.7
"3/31/2000",14.6,0.181,0,0.7
"04/01/2000",15.8,0.161,0,4.48
"04/02/2000",17.2,0.145,0,2.52
"04/03/2000",16.4,0.145,0,3.29
"04/04/2000",15.6,0.145,0,3.5
"04/05/2000",18.6,0.129,0,2.8
"04/06/2000",15.7,0.129,0,4.48
"04/07/2000",10.2,0.129,0.7,4.41
"04/08/2000",3.6,0.145,2,1.4
"04/09/2000",2.7,0.145,2.6,1.82
"04/10/2000",4.9,0.129,0,0.21
"04/11/2000",8.8,0.112,0,2.1
"04/12/2000",13.8,0.129,0,1.68
"4/13/2000",12.2,0.161,0.1,1.75
"4/14/2000",12.4,0.26,29.4,5.18
"4/15/2000",14.6,0.161,0,1.12
"4/16/2000",15.4,0.129,0,1.68
"4/17/2000",17,0.129,0,4.48
"4/18/2000",17.2,0.129,0.2,5.46
"4/19/2000",12.9,0.145,1.5,2.73
"4/20/2000",10.6,0.161,3.7,2.17
