"Date","E","P","Temp","Q"
"1/12/2018 12:00",1.7507,0,17.3,0.04
"1/13/2018 12:00",1.9616,0,18,0.04
"1/14/2018 12:00",1.7054,0.7,15.6,0.04
"1/15/2018 12:00",1.5305,2,15.8,0.04
"1/16/2018 12:00",1.3445,0.2,15,0.04
"1/17/2018 12:00",1.6311,0,14.1,0.04
"1/18/2018 12:00",1.8315,0,14.5,0.04
"1/19/2018 12:00",1.2505,0.3,12.4,0.04
"1/20/2018 12:00",1.3344,0,9.7,0.04
"1/21/2018 12:00",1.5515,0,10.4,0.05
"1/22/2018 12:00",2.5024,2.6,15.1,0.05
"1/23/2018 12:00",1.3357,0,11.3,0.04
"1/24/2018 12:00",1.0608,0,14.8,0.04
"1/25/2018 12:00",1.1368,0,14.1,0.04
"1/26/2018 12:00",1.72,0,15.3,0.04
"1/27/2018 12:00",0.8035,0,15.8,0.04
"1/28/2018 12:00",0.7472,0,15.3,0.05
"1/29/2018 12:00",0.8802,0,13.1,0.05
"1/30/2018 12:00",1.3669,0,9.9,0.05
"1/31/2018 12:00",1.58,0,13.3,0.05
"2/1/2018 12:00",1.7161,0,14.6,0.05
"2/2/2018 12:00",1.5196,0,13.1,0.065
"2/3/2018 12:00",0.7984,1,11.4,0.065
"2/4/2018 12:00",0.6156,0,12.6,0.05
"2/5/2018 12:00",1.4979,0,12.4,0.05
"2/6/2018 12:00",0.9807,0,11.5,0.04
"2/7/2018 12:00",0.7494,0,10.6,0.04
"2/8/2018 12:00",0.7785,0,14,0.04
"2/9/2018 12:00",0.6168,0,13.9,0.04
"2/10/2018 12:00",0.5381,0,11.6,0.04
"2/11/2018 12:00",0.494,0,11.4,0.05
"2/12/2018 12:00",0.6499,0,12.7,0.05
"2/13/2018 12:00",1.3541,0.3,13.8,0.05
"2/14/2018 12:00",0.9814,1.4,11,0.05
"2/15/2018 12:00",0.7571,0,10.8,0.05
"2/16/2018 12:00",0.869,0,10.4,0.05
"2/17/2018 12:00",1.2378,0,12.8,0.05
"2/18/2018 12:00",1.7729,8.5,8.4,0.09
"2/19/2018 12:00",2.2881,0.5,7.7,0.065
"2/20/2018 12:00",1.4619,7.4,6.9,0.09
"2/21/2018 12:00",0.9923,4.2,7,0.13
"2/22/2018 12:00",1.1767,1,9,0.175
"2/23/2018 12:00",0.9972,0,5.8,0.13
"2/24/2018 12:00",0.6706,0,5.1,0.09
"2/25/2018 12:00",0.4424,0,7.5,0.065
"2/26/2018 12:00",0.432,0,5.4,0.05
"2/27/2018 12:00",0.432,0,5.8,0.05
"2/28/2018 12:00",0.7169,0,7.7,0.05
"3/1/2018 12:00",1.7517,0,7.5,0.05
"3/2/2018 12:00",2.2285,0,5.2,0.05
"3/3/2018 12:00",2.0057,0,4.6,0.05
"3/4/2018 12:00",2.0426,0,5.2,0.05
"3/5/2018 12:00",2.0981,0,7.3,0.05
"3/6/2018 12:00",2.1343,1.4,6.7,0.05
"3/7/2018 12:00",2.4753,0.508,5.8,0.05
"3/8/2018 12:00",1.3949,1.524,3.7,0.05
"3/9/2018 12:00",1.6528,0,1.7,0.04
"3/10/2018 12:00",1.2143,0,1.862,0.04
"3/11/2018 12:00",0.3587,0,1.84,0.04
"3/12/2018 12:00",0.3395,0,2.3,0.04
"3/13/2018 12:00",0.2991,1.27,3.609,0.05
"3/14/2018 12:00",0.3314,1.27,4.824,0.05
"3/15/2018 12:00",0.3303,1.016,5.259,0.05
"3/16/2018 12:00",0.3094,7.112,2.385,0.09
"3/17/2018 12:00",0.2972,42.16,-1.441,0.09
"3/18/2018 12:00",0.8208,7.112,-4.316,0.065
"3/19/2018 12:00",0.4109,0,-3.932,0.065
"3/20/2018 12:00",0.42,0,-3.047,0.05
"3/21/2018 12:00",1.0199,0,-6.053,0.05
"3/22/2018 12:00",0.8871,0,-3.582,0.065
"3/23/2018 12:00",1.087,0,-0.36,0.13
"3/24/2018 12:00",1.1185,14.99,-2.495,0.09
"3/25/2018 12:00",0.3241,0,-3.179,0.065
"3/26/2018 12:00",0.2635,15.24,-5.87,0.065
"3/27/2018 12:00",0.2907,0,-9.38,0.09
"3/28/2018 12:00",0.3015,0,-8.57,0.13
"3/29/2018 12:00",0.288,0,-5.678,0.13
"3/30/2018 12:00",0.2881,0,-2.657,0.09
"3/31/2018 12:00",0.4164,0,-2.063,0.09
"4/1/2018 12:00",0.288,12.95,-0.53,0.09
"4/2/2018 12:00",0.288,1.016,-0.559,0.175
"4/3/2018 12:00",0.362,15.75,-3.357,0.13
"4/4/2018 12:00",0.5213,0,-4.904,0.13
"4/5/2018 12:00",0.4156,0,-3.476,0.09
"4/6/2018 12:00",0.3614,0,-5.039,0.09
"4/7/2018 12:00",0.3058,0,-1.82,0.09
"4/8/2018 12:00",0.3213,0,2.7,0.09
"4/9/2018 12:00",0.3281,0,3.72,0.09
"4/10/2018 12:00",0.4129,0,2.303,0.09
"4/11/2018 12:00",0.4314,0,-0.061,0.09
